"date","week","month","year","market_name","geocoded_column","market_type","commodity","bid","contract_month","futures_price","basis"
"12/26/2025","51","12","2025","Montana","POINT (-109.3523065 47.84556876)","Elevator Bid","Hard Red Winter Wheat","4.28","Mar","5.334","-1.054"
"12/26/2025","51","12","2025","Nebraska","POINT (-98.86763397 41.819007761)","Elevator Bid","Corn","3.93","Mar","4.498","-0.568"
"12/26/2025","51","12","2025","Nebraska","POINT (-98.86763397 41.819007761)","Elevator Bid","Soybeans","9.67","Mar","10.724","-1.054"
"12/26/2025","51","12","2025","North Carolina","POINT (-77.5422684 36.148352477)","Elevator Bid","Soybeans","10.52","Mar","10.724","-0.204"
"12/26/2025","51","12","2025","North Dakota","POINT (-98.73413359 47.679480598)","Elevator Bid","Corn","3.79","Mar","4.498","-0.708"
"12/26/2025","51","12","2025","North Dakota","POINT (-98.73413359 47.679480598)","Elevator Bid","Hard Red Spring Wheat","5.36","Mar","5.793","-0.433"
"12/26/2025","51","12","2025","North Dakota","POINT (-98.73413359 47.679480598)","Elevator Bid","Soybeans","9.56","Mar","10.724","-1.164"
"12/26/2025","51","12","2025","Ohio","POINT (-82.94661222 39.665215742)","Elevator Bid","Corn","4.37","Mar","4.498","-0.128"
"12/26/2025","51","12","2025","Ohio","POINT (-82.94661222 39.665215742)","Elevator Bid","Soybeans","10.35","Mar","10.724","-0.374"
"12/26/2025","51","12","2025","Oklahoma","POINT (-97.23598825 35.733534143)","Elevator Bid","Hard Red Winter Wheat","4.49","Mar","5.334","-0.844"
"12/26/2025","51","12","2025","Portland","POINT (-124.1003748 46.82275662)","30-Day to Arrive","Hard Red Spring Wheat","7.82","Mar","5.793","2.027"
"12/26/2025","51","12","2025","Portland","POINT (-124.1003748 46.82275662)","30-Day to Arrive","Hard Red Winter Wheat","6.5","Mar","5.334","1.166"
"12/26/2025","51","12","2025","South Dakota","POINT (-98.78348317 44.754853034)","Elevator Bid","Corn","3.73","Mar","4.498","-0.768"
"12/26/2025","51","12","2025","South Dakota","POINT (-98.78348317 44.754853034)","Elevator Bid","Hard Red Winter Wheat","4.1","Mar","5.334","-1.234"
"12/26/2025","51","12","2025","South Dakota","POINT (-98.78348317 44.754853034)","Elevator Bid","Soybeans","9.52","Mar","10.724","-1.204"
"12/26/2025","51","12","2025","Southeast","POINT (-91.30436658 33.781824929)","Elevator Bid","Corn","3.79","Mar","4.498","-0.708"
"12/26/2025","51","12","2025","Southeast","POINT (-91.30436658 33.781824929)","Elevator Bid","Soybeans","9.56","Mar","10.724","-1.164"
"12/26/2025","51","12","2025","Washington","POINT (-118.4913208 47.289352001)","Elevator Bid","Hard Red Spring Wheat","5.76","Mar","5.793","-0.033"
"12/26/2025","51","12","2025","Washington","POINT (-118.4913208 47.289352001)","Elevator Bid","Hard Red Winter Wheat","5.16","Mar","5.334","-0.174"
